Name,Korean,Category,Locality,Address,Confidence,NaverLink,Source
Tumuli Park,,Gyeongju,Gyeongju,,Unresolved,https://map.naver.com/p/search/Tumuli%20Park,https://www.instagram.com/p/DYJ7QeyEoD3/?img_index=6
Cakebite,,Gyeongju,Gyeongju,경상북도 경주시 태종로 751 1층 케이크한입,Check,https://map.naver.com/p/search/케이크한입%20황리단길점,https://www.instagram.com/p/DYJ7QeyEoD3/?img_index=6
Cheomseongdae,,Gyeongju,Gyeongju,경상북도 경주시 인왕동 839-1,Check,https://map.naver.com/p/search/첨성대,https://www.instagram.com/p/DYJ7QeyEoD3/?img_index=6
Seonhwa,,Gyeongju,Gyeongju,경상북도 경주시 태종로 736-3 선화,Check,https://map.naver.com/p/search/선화,https://www.instagram.com/p/DYJ7QeyEoD3/?img_index=6
Gyerim Forest,,Gyeongju,Gyeongju,,Unresolved,https://map.naver.com/p/search/Gyerim%20Forest,https://www.instagram.com/p/DYJ7QeyEoD3/?img_index=6
Hoof Hoof,,Gyeongju,Gyeongju,서울특별시 성동구 성수일로8길 5 A-401,Unresolved,https://map.naver.com/p/search/후프코퍼레이션,https://www.instagram.com/p/DYJ7QeyEoD3/?img_index=6
Skunkworks,,Gyeongju,Gyeongju,경상북도 경주시 포석로 1058-3 스컹크웍스,Check,https://map.naver.com/p/search/스컹크웍스,https://www.instagram.com/p/DYJ7QeyEoD3/?img_index=6
Hwangnyongsa Hall,,Gyeongju,Gyeongju,,Unresolved,https://map.naver.com/p/search/Hwangnyongsa%20Hall,https://www.instagram.com/p/DYJ7QeyEoD3/?img_index=6
Jungdo Tower,,Gyeongju,Gyeongju,,Unresolved,https://map.naver.com/p/search/Jungdo%20Tower,https://www.instagram.com/p/DYJ7QeyEoD3/?img_index=6
Bomun Lake,,Gyeongju,Gyeongju,경상북도 경주시 신평동,Check,https://map.naver.com/p/search/보문호,https://www.instagram.com/p/DYJ7QeyEoD3/?img_index=6
Gyeongju World,,Gyeongju,Gyeongju,경상북도 경주시 보문로 544,Check,https://map.naver.com/p/search/경주월드,https://www.instagram.com/p/DYJ7QeyEoD3/?img_index=6
Gyeongju Shim Cafe,,Gyeongju,Gyeongju,,Unresolved,https://map.naver.com/p/search/Gyeongju%20Shim%20Cafe,https://www.instagram.com/p/DYJ7QeyEoD3/?img_index=6
Saltimbocca Seoul,,Italian Food,"Namyeong, Seoul",,Unresolved,https://map.naver.com/p/search/Saltimbocca%20Seoul,https://www.instagram.com/reel/DVJ_dkwDBma/
Gijang,,Grilled Eel gijang north of busan,"Gijang-gun, Busan area (north of Busan)",부산광역시 기장군 기장읍 차성동로 58,Check,https://map.naver.com/p/search/기장교회,https://www.instagram.com/reel/DX73AeFzfyV/
Unagi Kyodai,우나기쿄다이,Grilled Eel gijang north of busan,"Gwanak-gu, Seoul (near Seoul National University Station)",서울특별시 관악구 청룡1길 16 101호,High,https://map.naver.com/p/search/우나기쿄다이,https://www.instagram.com/reel/DWp_wqLCTKn/
Hyunsunine,,Yongsan,"Yongsan, Seoul",서울특별시 용산구 한강대로39길 2-13,Check,https://map.naver.com/p/search/현선이네%20용산본점,https://www.instagram.com/reel/DX88Mq5Jgyw/
Leeum Museum of Art,리움미술관,Architecture,"Hannam-dong, Yongsan-gu, Seoul",서울특별시 용산구 이태원로55길 60-16 리움미술관 로비 지하3층,High,https://map.naver.com/p/search/카멜커피%20리움미술관점,https://www.instagram.com/p/DXbaFwOE_AH/?img_index=12
JUUN.J Dosan Flagship,준지 도산 플래그십,Architecture,"Dosan / Gangnam, Seoul",서울특별시 강남구 언주로164길 23 (신사동) 준지 도산 플래그쉽스토어,High,https://map.naver.com/p/search/준지%20도산%20플래그십%20스토어,https://www.instagram.com/p/DXT5NWKEhQY/?img_index=5
SongEun Art and Cultural Foundation,송은,Architecture,"Cheongdam, Seoul",서울특별시 강남구 도산대로 441,High,https://map.naver.com/p/search/송은,https://www.instagram.com/p/DXT5NWKEhQY/?img_index=5
025S,025S 성수,Architecture,"Seongsu, Seoul",서울특별시 성동구 왕십리로14길 20,Check,https://map.naver.com/p/search/포인트투파이브세컨드%20성수%20하우스,https://www.instagram.com/p/DXT5NWKEhQY/?img_index=5
Audeum Audio Museum,오디움,Architecture,Seoul,서울특별시 서초구 헌릉로8길 6,High,https://map.naver.com/p/search/오디움,https://www.instagram.com/p/DXT5NWKEhQY/?img_index=5
Dongdaemun Design Plaza (DDP),동대문디자인플라자,Architecture,"Dongdaemun, Seoul",서울특별시 중구 을지로 281,High,https://map.naver.com/p/search/동대문디자인플라자,https://www.instagram.com/p/DXT5NWKEhQY/?img_index=5
Seoul,,Architecture,Seoul,서울특별시 송파구,Check,https://map.naver.com/p/search/서울석촌동고분군,https://www.instagram.com/reel/DXgjNheE-jG/
Haus Nowhere Seoul,,Architecture,Seoul,서울특별시 성동구 뚝섬로 433,Check,https://map.naver.com/p/search/하우스%20노웨어%20서울,https://www.instagram.com/p/DXbaFwOE_AH/?img_index=12
Dongdaemun Design Plaza (DDP),,Architecture,"Dongdaemun, Seoul",서울특별시 중구 을지로 281,Check,https://map.naver.com/p/search/동대문디자인플라자,https://www.instagram.com/p/DXbaFwOE_AH/?img_index=12
Club Chroma,,Architecture,Seoul,인천광역시 중구 영종해안남로321번길 186 파라다이스시티 크로마,Unresolved,https://map.naver.com/p/search/클럽%20크로마,https://www.instagram.com/p/DXbaFwOE_AH/?img_index=12
Starfield Library,,Architecture,Seoul (Starfield COEX Mall),경기도 고양시 덕양구 통일로 140 삼송태크노밸리 B동 238호,Unresolved,https://map.naver.com/p/search/예지닷컴,https://www.instagram.com/p/DXbaFwOE_AH/?img_index=12
GT Tower,,Architecture,Seoul,서울특별시 서초구 서초대로 411,Check,https://map.naver.com/p/search/지티타워약국,https://www.instagram.com/p/DXbaFwOE_AH/?img_index=12
Seosomun Shrine History Museum,,Architecture,Seoul,,Unresolved,https://map.naver.com/p/search/Seosomun%20Shrine%20History%20Museum,https://www.instagram.com/p/DXbaFwOE_AH/?img_index=12
Namsan Tower (Namsan Park),,Architecture,"Namsan Park, Seoul",,Unresolved,https://map.naver.com/p/search/Namsan%20Tower%20(Namsan%20Park),https://www.instagram.com/p/DXbaFwOE_AH/?img_index=12
